timestamp,mean_date,Variables,Values
2021-01-15T09:55:00Z,2021-01-15T09:54:55Z,mean_depth,3.333333333333332e-4
2021-01-15T09:55:00Z,2021-01-15T09:54:55Z,mean_temperature,29.165
2021-01-15T09:55:00Z,2021-01-15T09:54:55Z,mean_salinity,34.69659998666667
2021-01-15T09:55:00Z,2021-01-15T09:54:55Z,mean_abs_pressure,101.77466666666666
2021-01-15T09:56:00Z,2021-01-15T09:55:55Z,mean_depth,0.11966666666666667
2021-01-15T09:56:00Z,2021-01-15T09:55:55Z,mean_temperature,29.17
2021-01-15T09:56:00Z,2021-01-15T09:55:55Z,mean_salinity,34.497690575
2021-01-15T09:56:00Z,2021-01-15T09:55:55Z,mean_abs_pressure,102.97416666666666
2021-01-15T09:57:00Z,2021-01-15T09:56:55Z,mean_depth,0.2515
2021-01-15T09:57:00Z,2021-01-15T09:56:55Z,mean_temperature,29.148333333333333
2021-01-15T09:57:00Z,2021-01-15T09:56:55Z,mean_salinity,34.424632395
2021-01-15T09:57:00Z,2021-01-15T09:56:55Z,mean_abs_pressure,104.29916666666666
2021-01-15T09:58:00Z,2021-01-15T09:57:55Z,mean_depth,0.2931666666666667
2021-01-15T09:58:00Z,2021-01-15T09:57:55Z,mean_temperature,29.14666666666667
2021-01-15T09:58:00Z,2021-01-15T09:57:55Z,mean_salinity,34.34535175833334
2021-01-15T09:58:00Z,2021-01-15T09:57:55Z,mean_abs_pressure,104.71849999999999
2021-01-15T09:59:00Z,2021-01-15T09:58:55Z,mean_depth,0.2673333333333333
2021-01-15T09:59:00Z,2021-01-15T09:58:55Z,mean_temperature,29.123333333333335
2021-01-15T09:59:00Z,2021-01-15T09:58:55Z,mean_salinity,34.37107914
2021-01-15T09:59:00Z,2021-01-15T09:58:55Z,mean_abs_pressure,104.457
2021-01-15T10:00:00Z,2021-01-15T09:59:55Z,mean_depth,0.26566666666666666
2021-01-15T10:00:00Z,2021-01-15T09:59:55Z,mean_temperature,29.130000000000003
2021-01-15T10:00:00Z,2021-01-15T09:59:55Z,mean_salinity,34.34775816
2021-01-15T10:00:00Z,2021-01-15T09:59:55Z,mean_abs_pressure,104.44283333333334
2021-01-15T10:01:00Z,2021-01-15T10:00:55Z,mean_depth,0.2845
2021-01-15T10:01:00Z,2021-01-15T10:00:55Z,mean_temperature,29.125
2021-01-15T10:01:00Z,2021-01-15T10:00:55Z,mean_salinity,34.326068256666666
2021-01-15T10:01:00Z,2021-01-15T10:00:55Z,mean_abs_pressure,104.63416666666667
2021-01-15T10:02:00Z,2021-01-15T10:01:55Z,mean_depth,0.2763333333333333
2021-01-15T10:02:00Z,2021-01-15T10:01:55Z,mean_temperature,29.106666666666666
2021-01-15T10:02:00Z,2021-01-15T10:01:55Z,mean_salinity,34.31233178166667
2021-01-15T10:02:00Z,2021-01-15T10:01:55Z,mean_abs_pressure,104.54883333333333
2021-01-15T10:03:00Z,2021-01-15T10:02:55Z,mean_depth,0.2375
2021-01-15T10:03:00Z,2021-01-15T10:02:55Z,mean_temperature,29.15
2021-01-15T10:03:00Z,2021-01-15T10:02:55Z,mean_salinity,34.21812022666667
2021-01-15T10:03:00Z,2021-01-15T10:02:55Z,mean_abs_pressure,104.1585
2021-01-15T10:04:00Z,2021-01-15T10:03:55Z,mean_depth,0.2653333333333333
2021-01-15T10:04:00Z,2021-01-15T10:03:55Z,mean_temperature,29.148333333333333
2021-01-15T10:04:00Z,2021-01-15T10:03:55Z,mean_salinity,34.21424049666666
2021-01-15T10:04:00Z,2021-01-15T10:03:55Z,mean_abs_pressure,104.43966666666667
2021-01-15T10:05:00Z,2021-01-15T10:04:55Z,mean_depth,0.2881666666666667
2021-01-15T10:05:00Z,2021-01-15T10:04:55Z,mean_temperature,29.16
2021-01-15T10:05:00Z,2021-01-15T10:04:55Z,mean_salinity,34.16745405166667
2021-01-15T10:05:00Z,2021-01-15T10:04:55Z,mean_abs_pressure,104.66666666666667
2021-01-15T10:06:00Z,2021-01-15T10:05:55Z,mean_depth,0.26266666666666666
2021-01-15T10:06:00Z,2021-01-15T10:05:55Z,mean_temperature,29.18166666666667
2021-01-15T10:06:00Z,2021-01-15T10:05:55Z,mean_salinity,34.112492276666664
2021-01-15T10:06:00Z,2021-01-15T10:05:55Z,mean_abs_pressure,104.411
2021-01-15T10:07:00Z,2021-01-15T10:06:55Z,mean_depth,0.2615
2021-01-15T10:07:00Z,2021-01-15T10:06:55Z,mean_temperature,29.186666666666667
2021-01-15T10:07:00Z,2021-01-15T10:06:55Z,mean_salinity,34.09285126333333
2021-01-15T10:07:00Z,2021-01-15T10:06:55Z,mean_abs_pressure,104.40066666666667
2021-01-15T10:08:00Z,2021-01-15T10:07:55Z,mean_depth,0.269
2021-01-15T10:08:00Z,2021-01-15T10:07:55Z,mean_temperature,29.195
2021-01-15T10:08:00Z,2021-01-15T10:07:55Z,mean_salinity,34.08249083333333
2021-01-15T10:08:00Z,2021-01-15T10:07:55Z,mean_abs_pressure,104.477
2021-01-15T10:09:00Z,2021-01-15T10:08:55Z,mean_depth,0.28633333333333333
2021-01-15T10:09:00Z,2021-01-15T10:08:55Z,mean_temperature,29.198333333333334
2021-01-15T10:09:00Z,2021-01-15T10:08:55Z,mean_salinity,34.062370565
2021-01-15T10:09:00Z,2021-01-15T10:08:55Z,mean_abs_pressure,104.652
2021-01-15T10:10:00Z,2021-01-15T10:09:55Z,mean_depth,0.24766666666666667
2021-01-15T10:10:00Z,2021-01-15T10:09:55Z,mean_temperature,29.21
2021-01-15T10:10:00Z,2021-01-15T10:09:55Z,mean_salinity,34.038546608333334
2021-01-15T10:10:00Z,2021-01-15T10:09:55Z,mean_abs_pressure,104.2615
2021-01-15T10:11:00Z,2021-01-15T10:10:55Z,mean_depth,0.2796666666666667
2021-01-15T10:11:00Z,2021-01-15T10:10:55Z,mean_temperature,29.201666666666668
2021-01-15T10:11:00Z,2021-01-15T10:10:55Z,mean_salinity,34.14718876333333
2021-01-15T10:11:00Z,2021-01-15T10:10:55Z,mean_abs_pressure,104.58583333333333
2021-01-15T10:12:00Z,2021-01-15T10:11:55Z,mean_depth,0.264
2021-01-15T10:12:00Z,2021-01-15T10:11:55Z,mean_temperature,29.196666666666665
2021-01-15T10:12:00Z,2021-01-15T10:11:55Z,mean_salinity,34.13073331666667
2021-01-15T10:12:00Z,2021-01-15T10:11:55Z,mean_abs_pressure,104.42516666666667
2021-01-15T10:13:00Z,2021-01-15T10:12:55Z,mean_depth,0.271
2021-01-15T10:13:00Z,2021-01-15T10:12:55Z,mean_temperature,29.176666666666666
2021-01-15T10:13:00Z,2021-01-15T10:12:55Z,mean_salinity,34.06669747
2021-01-15T10:13:00Z,2021-01-15T10:12:55Z,mean_abs_pressure,104.49683333333333
2021-01-15T10:14:00Z,2021-01-15T10:13:55Z,mean_depth,0.26183333333333336
2021-01-15T10:14:00Z,2021-01-15T10:13:55Z,mean_temperature,29.113333333333333
2021-01-15T10:14:00Z,2021-01-15T10:13:55Z,mean_salinity,34.01652893333333
2021-01-15T10:14:00Z,2021-01-15T10:13:55Z,mean_abs_pressure,104.40516666666667
2021-01-15T10:15:00Z,2021-01-15T10:14:55Z,mean_depth,0.27066666666666667
2021-01-15T10:15:00Z,2021-01-15T10:14:55Z,mean_temperature,29
2021-01-15T10:15:00Z,2021-01-15T10:14:55Z,mean_salinity,34.0210405
2021-01-15T10:15:00Z,2021-01-15T10:14:55Z,mean_abs_pressure,104.49116666666667
2021-01-15T10:16:00Z,2021-01-15T10:15:55Z,mean_depth,0.26383333333333336
2021-01-15T10:16:00Z,2021-01-15T10:15:55Z,mean_temperature,28.706666666666667
2021-01-15T10:16:00Z,2021-01-15T10:15:55Z,mean_salinity,33.98462549166667
2021-01-15T10:16:00Z,2021-01-15T10:15:55Z,mean_abs_pressure,104.42516666666667
2021-01-15T10:17:00Z,2021-01-15T10:16:55Z,mean_depth,0.27366666666666667
2021-01-15T10:17:00Z,2021-01-15T10:16:55Z,mean_temperature,28.74666666666667
2021-01-15T10:17:00Z,2021-01-15T10:16:55Z,mean_salinity,33.99338987833333
2021-01-15T10:17:00Z,2021-01-15T10:16:55Z,mean_abs_pressure,104.52266666666667
2021-01-15T10:18:00Z,2021-01-15T10:17:55Z,mean_depth,0.2801666666666667
2021-01-15T10:18:00Z,2021-01-15T10:17:55Z,mean_temperature,28.766666666666666
2021-01-15T10:18:00Z,2021-01-15T10:17:55Z,mean_salinity,33.988463745000004
2021-01-15T10:18:00Z,2021-01-15T10:17:55Z,mean_abs_pressure,104.58866666666667
2021-01-15T10:19:00Z,2021-01-15T10:18:55Z,mean_depth,0.26433333333333336
2021-01-15T10:19:00Z,2021-01-15T10:18:55Z,mean_temperature,28.793333333333333
2021-01-15T10:19:00Z,2021-01-15T10:18:55Z,mean_salinity,33.84619508666667
2021-01-15T10:19:00Z,2021-01-15T10:18:55Z,mean_abs_pressure,104.43083333333334
2021-01-15T10:20:00Z,2021-01-15T10:19:55Z,mean_depth,0.27416666666666667
2021-01-15T10:20:00Z,2021-01-15T10:19:55Z,mean_temperature,28.766666666666666
2021-01-15T10:20:00Z,2021-01-15T10:19:55Z,mean_salinity,33.644122038333336
2021-01-15T10:20:00Z,2021-01-15T10:19:55Z,mean_abs_pressure,104.526
2021-01-15T10:21:00Z,2021-01-15T10:20:55Z,mean_depth,0.2693333333333333
2021-01-15T10:21:00Z,2021-01-15T10:20:55Z,mean_temperature,28.83
2021-01-15T10:21:00Z,2021-01-15T10:20:55Z,mean_salinity,33.84276972166667
2021-01-15T10:21:00Z,2021-01-15T10:20:55Z,mean_abs_pressure,104.47933333333333
2021-01-15T10:22:00Z,2021-01-15T10:21:55Z,mean_depth,0.256
2021-01-15T10:22:00Z,2021-01-15T10:21:55Z,mean_temperature,28.803333333333335
2021-01-15T10:22:00Z,2021-01-15T10:21:55Z,mean_salinity,33.85785871
2021-01-15T10:22:00Z,2021-01-15T10:21:55Z,mean_abs_pressure,104.34450000000001
2021-01-15T10:23:00Z,2021-01-15T10:22:55Z,mean_depth,0.26616666666666666
2021-01-15T10:23:00Z,2021-01-15T10:22:55Z,mean_temperature,28.825
2021-01-15T10:23:00Z,2021-01-15T10:22:55Z,mean_salinity,33.764460406666664
2021-01-15T10:23:00Z,2021-01-15T10:22:55Z,mean_abs_pressure,104.44783333333334
2021-01-15T10:24:00Z,2021-01-15T10:23:55Z,mean_depth,0.258
2021-01-15T10:24:00Z,2021-01-15T10:23:55Z,mean_temperature,28.96
2021-01-15T10:24:00Z,2021-01-15T10:23:55Z,mean_salinity,33.739844945
2021-01-15T10:24:00Z,2021-01-15T10:23:55Z,mean_abs_pressure,104.36433333333333
2021-01-15T10:25:00Z,2021-01-15T10:24:55Z,mean_depth,0.24816666666666667
2021-01-15T10:25:00Z,2021-01-15T10:24:55Z,mean_temperature,29.068333333333335
2021-01-15T10:25:00Z,2021-01-15T10:24:55Z,mean_salinity,33.74877544833333
2021-01-15T10:25:00Z,2021-01-15T10:24:55Z,mean_abs_pressure,104.26733333333334
2021-01-15T10:26:00Z,2021-01-15T10:25:55Z,mean_depth,0.2765
2021-01-15T10:26:00Z,2021-01-15T10:25:55Z,mean_temperature,29.05
2021-01-15T10:26:00Z,2021-01-15T10:25:55Z,mean_salinity,33.75732239833333
2021-01-15T10:26:00Z,2021-01-15T10:25:55Z,mean_abs_pressure,104.551
2021-01-15T10:27:00Z,2021-01-15T10:26:55Z,mean_depth,0.26866666666666666
2021-01-15T10:27:00Z,2021-01-15T10:26:55Z,mean_temperature,29.208333333333332
2021-01-15T10:27:00Z,2021-01-15T10:26:55Z,mean_salinity,33.927191475
2021-01-15T10:27:00Z,2021-01-15T10:26:55Z,mean_abs_pressure,104.47366666666667
2021-01-15T10:28:00Z,2021-01-15T10:27:55Z,mean_depth,0.255
2021-01-15T10:28:00Z,2021-01-15T10:27:55Z,mean_temperature,29.19333333333333
2021-01-15T10:28:00Z,2021-01-15T10:27:55Z,mean_salinity,33.893246311666665
2021-01-15T10:28:00Z,2021-01-15T10:27:55Z,mean_abs_pressure,104.33566666666667
2021-01-15T10:29:00Z,2021-01-15T10:28:55Z,mean_depth,0.26466666666666666
2021-01-15T10:29:00Z,2021-01-15T10:28:55Z,mean_temperature,29.173333333333332
2021-01-15T10:29:00Z,2021-01-15T10:28:55Z,mean_salinity,33.9481195
2021-01-15T10:29:00Z,2021-01-15T10:28:55Z,mean_abs_pressure,104.43316666666666
2021-01-15T10:30:00Z,2021-01-15T10:29:55Z,mean_depth,0.30166666666666664
2021-01-15T10:30:00Z,2021-01-15T10:29:55Z,mean_temperature,29.17
2021-01-15T10:30:00Z,2021-01-15T10:29:55Z,mean_salinity,33.86952724333333
2021-01-15T10:30:00Z,2021-01-15T10:29:55Z,mean_abs_pressure,104.80383333333333
2021-01-15T10:31:00Z,2021-01-15T10:30:55Z,mean_depth,0.25916666666666666
2021-01-15T10:31:00Z,2021-01-15T10:30:55Z,mean_temperature,29.248333333333335
2021-01-15T10:31:00Z,2021-01-15T10:30:55Z,mean_salinity,33.832366666666665
2021-01-15T10:31:00Z,2021-01-15T10:30:55Z,mean_abs_pressure,104.37566666666667
2021-01-15T10:32:00Z,2021-01-15T10:31:55Z,mean_depth,0.25016666666666665
2021-01-15T10:32:00Z,2021-01-15T10:31:55Z,mean_temperature,29.378333333333334
2021-01-15T10:32:00Z,2021-01-15T10:31:55Z,mean_salinity,33.458259365
2021-01-15T10:32:00Z,2021-01-15T10:31:55Z,mean_abs_pressure,104.287
2021-01-15T10:33:00Z,2021-01-15T10:32:55Z,mean_depth,0.278
2021-01-15T10:33:00Z,2021-01-15T10:32:55Z,mean_temperature,29.22833333333333
2021-01-15T10:33:00Z,2021-01-15T10:32:55Z,mean_salinity,33.53290687333333
2021-01-15T10:33:00Z,2021-01-15T10:32:55Z,mean_abs_pressure,104.56516666666667
2021-01-15T10:34:00Z,2021-01-15T10:33:55Z,mean_depth,0.272
2021-01-15T10:34:00Z,2021-01-15T10:33:55Z,mean_temperature,29.171666666666667
2021-01-15T10:34:00Z,2021-01-15T10:33:55Z,mean_salinity,32.77721784166667
2021-01-15T10:34:00Z,2021-01-15T10:33:55Z,mean_abs_pressure,104.508
2021-01-15T10:35:00Z,2021-01-15T10:34:55Z,mean_depth,0.2525
2021-01-15T10:35:00Z,2021-01-15T10:34:55Z,mean_temperature,29.259999999999998
2021-01-15T10:35:00Z,2021-01-15T10:34:55Z,mean_salinity,32.95251819333333
2021-01-15T10:35:00Z,2021-01-15T10:34:55Z,mean_abs_pressure,104.31
2021-01-15T10:36:00Z,2021-01-15T10:35:55Z,mean_depth,0.26483333333333337
2021-01-15T10:36:00Z,2021-01-15T10:35:55Z,mean_temperature,29.293333333333333
2021-01-15T10:36:00Z,2021-01-15T10:35:55Z,mean_salinity,33.54162257666667
2021-01-15T10:36:00Z,2021-01-15T10:35:55Z,mean_abs_pressure,104.435
2021-01-15T10:37:00Z,2021-01-15T10:36:55Z,mean_depth,0.2705
2021-01-15T10:37:00Z,2021-01-15T10:36:55Z,mean_temperature,29.296666666666667
2021-01-15T10:37:00Z,2021-01-15T10:36:55Z,mean_salinity,33.03224063333333
2021-01-15T10:37:00Z,2021-01-15T10:36:55Z,mean_abs_pressure,104.4905
2021-01-15T10:38:00Z,2021-01-15T10:37:55Z,mean_depth,0.2455
2021-01-15T10:38:00Z,2021-01-15T10:37:55Z,mean_temperature,29.298333333333332
2021-01-15T10:38:00Z,2021-01-15T10:37:55Z,mean_salinity,32.918361065
2021-01-15T10:38:00Z,2021-01-15T10:37:55Z,mean_abs_pressure,104.2405
2021-01-15T10:39:00Z,2021-01-15T10:38:55Z,mean_depth,0.265
2021-01-15T10:39:00Z,2021-01-15T10:38:55Z,mean_temperature,29.313333333333333
2021-01-15T10:39:00Z,2021-01-15T10:38:55Z,mean_salinity,33.03195823833333
2021-01-15T10:39:00Z,2021-01-15T10:38:55Z,mean_abs_pressure,104.43633333333334
2021-01-15T10:40:00Z,2021-01-15T10:39:55Z,mean_depth,0.26733333333333337
2021-01-15T10:40:00Z,2021-01-15T10:39:55Z,mean_temperature,29.259999999999998
2021-01-15T10:40:00Z,2021-01-15T10:39:55Z,mean_salinity,33.888997053333334
2021-01-15T10:40:00Z,2021-01-15T10:39:55Z,mean_abs_pressure,104.45833333333334
2021-01-15T10:41:00Z,2021-01-15T10:40:55Z,mean_depth,0.24966666666666668
2021-01-15T10:41:00Z,2021-01-15T10:40:55Z,mean_temperature,29.28666666666667
2021-01-15T10:41:00Z,2021-01-15T10:40:55Z,mean_salinity,33.71563378
2021-01-15T10:41:00Z,2021-01-15T10:40:55Z,mean_abs_pressure,104.2835
2021-01-15T10:42:00Z,2021-01-15T10:41:55Z,mean_depth,0.25816666666666666
2021-01-15T10:42:00Z,2021-01-15T10:41:55Z,mean_temperature,29.321666666666665
2021-01-15T10:42:00Z,2021-01-15T10:41:55Z,mean_salinity,33.654039411666666
2021-01-15T10:42:00Z,2021-01-15T10:41:55Z,mean_abs_pressure,104.36683333333333
2021-01-15T10:43:00Z,2021-01-15T10:42:55Z,mean_depth,0.2723333333333333
2021-01-15T10:43:00Z,2021-01-15T10:42:55Z,mean_temperature,29.353333333333335
2021-01-15T10:43:00Z,2021-01-15T10:42:55Z,mean_salinity,33.74089557333333
2021-01-15T10:43:00Z,2021-01-15T10:42:55Z,mean_abs_pressure,104.5075
2021-01-15T10:44:00Z,2021-01-15T10:43:55Z,mean_depth,0.2823333333333333
2021-01-15T10:44:00Z,2021-01-15T10:43:55Z,mean_temperature,29.345
2021-01-15T10:44:00Z,2021-01-15T10:43:55Z,mean_salinity,33.78577357
2021-01-15T10:44:00Z,2021-01-15T10:43:55Z,mean_abs_pressure,104.60816666666668
2021-01-15T10:45:00Z,2021-01-15T10:44:55Z,mean_depth,0.24516666666666667
2021-01-15T10:45:00Z,2021-01-15T10:44:55Z,mean_temperature,29.375
2021-01-15T10:45:00Z,2021-01-15T10:44:55Z,mean_salinity,33.67491314
2021-01-15T10:45:00Z,2021-01-15T10:44:55Z,mean_abs_pressure,104.23766666666667
2021-01-15T10:46:00Z,2021-01-15T10:45:55Z,mean_depth,0.25566666666666665
2021-01-15T10:46:00Z,2021-01-15T10:45:55Z,mean_temperature,29.371666666666666
2021-01-15T10:46:00Z,2021-01-15T10:45:55Z,mean_salinity,33.63854004666666
2021-01-15T10:46:00Z,2021-01-15T10:45:55Z,mean_abs_pressure,104.34116666666667
2021-01-15T10:47:00Z,2021-01-15T10:46:55Z,mean_depth,0.2623333333333333
2021-01-15T10:47:00Z,2021-01-15T10:46:55Z,mean_temperature,29.358333333333334
2021-01-15T10:47:00Z,2021-01-15T10:46:55Z,mean_salinity,33.55823038
2021-01-15T10:47:00Z,2021-01-15T10:46:55Z,mean_abs_pressure,104.40716666666667
2021-01-15T10:48:00Z,2021-01-15T10:47:55Z,mean_depth,0.27999999999999997
2021-01-15T10:48:00Z,2021-01-15T10:47:55Z,mean_temperature,29.361666666666665
2021-01-15T10:48:00Z,2021-01-15T10:47:55Z,mean_salinity,33.560756405
2021-01-15T10:48:00Z,2021-01-15T10:47:55Z,mean_abs_pressure,104.58516666666667
2021-01-15T10:49:00Z,2021-01-15T10:48:55Z,mean_depth,0.2748333333333333
2021-01-15T10:49:00Z,2021-01-15T10:48:55Z,mean_temperature,29.413333333333334
2021-01-15T10:49:00Z,2021-01-15T10:48:55Z,mean_salinity,33.672695275
2021-01-15T10:49:00Z,2021-01-15T10:48:55Z,mean_abs_pressure,104.53616666666667
2021-01-15T10:50:00Z,2021-01-15T10:49:55Z,mean_depth,0.25416666666666665
2021-01-15T10:50:00Z,2021-01-15T10:49:55Z,mean_temperature,29.403333333333332
2021-01-15T10:50:00Z,2021-01-15T10:49:55Z,mean_salinity,33.665963465000004
2021-01-15T10:50:00Z,2021-01-15T10:49:55Z,mean_abs_pressure,104.3295
2021-01-15T10:51:00Z,2021-01-15T10:50:55Z,mean_depth,0.25766666666666665
2021-01-15T10:51:00Z,2021-01-15T10:50:55Z,mean_temperature,29.4
2021-01-15T10:51:00Z,2021-01-15T10:50:55Z,mean_salinity,33.63341877166667
2021-01-15T10:51:00Z,2021-01-15T10:50:55Z,mean_abs_pressure,104.36383333333333
2021-01-15T10:52:00Z,2021-01-15T10:51:55Z,mean_depth,0.25216666666666665
2021-01-15T10:52:00Z,2021-01-15T10:51:55Z,mean_temperature,29.383333333333333
2021-01-15T10:52:00Z,2021-01-15T10:51:55Z,mean_salinity,33.66469314166667
2021-01-15T10:52:00Z,2021-01-15T10:51:55Z,mean_abs_pressure,104.30616666666667
2021-01-15T10:53:00Z,2021-01-15T10:52:55Z,mean_depth,0.2776666666666667
2021-01-15T10:53:00Z,2021-01-15T10:52:55Z,mean_temperature,29.405
2021-01-15T10:53:00Z,2021-01-15T10:52:55Z,mean_salinity,33.66423256833333
2021-01-15T10:53:00Z,2021-01-15T10:52:55Z,mean_abs_pressure,104.56183333333334
2021-01-15T10:54:00Z,2021-01-15T10:53:55Z,mean_depth,0.25516666666666665
2021-01-15T10:54:00Z,2021-01-15T10:53:55Z,mean_temperature,29.42
